label,statement
barely-true,Dave Aronbergs career legal experience is less than two years as Asst. AG/private attorney.
barely-true,Says Gov. Chris Christie has now come up with a new agenda for ethics reform in September 2011.
false,"As Alaskas attorney general, (U.S. Senate candidate Dan) Sullivan successfully fought to protect our Second Amendment rights and passed stand your ground."
false,The Muslim Brotherhood has openly stated they want to declare war on Israel.
false,Says Wisconsin Manufacturers Commerces own 2014 survey revealed that just 15 percent of business executive respondents were in favor of Right-To-Work legislation.
false,Ted Cruz is in negotiations to be Donald Trumps running mate.
false,On support for the Export-Import Bank
false,"Under President Barack Obama, the United States has doubled our exports."
false,Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions.
false,For the last decade the climate has been cooling.
false,Mary Burke wasted 12.5 million dollars on a vacant lot in a move that could cost taxpayers nearly $25 million.
false,I campaigned on (the proposals in the budget repair bill for Wisconsin) all throughout the election. Anybody who says they are shocked on this has been asleep for the past two years.
false,Some city of Atlanta employees have not had raises in eight years.
false,"I was one of the few, very few, who voted `no on the Iran deal."
false,We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.
false,"Sen. McCain would occupy Iraq indefinitely, against their wishes."
false,Says Donald Trump always pays his bills promptly.
false,On changing the rules for filibusters on presidential nominees
false,"Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960, which he banged on the desk in protest."
false,A measure to repeal the states prevailing wage law would make it easier for state contractors to hire illegal workers for Wisconsin construction jobs through an illegal worker loophole in the state budget.
false,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.
false,After four years of a celebrity president 85% (of recent college grads are) moving back in with their parents.
false,State Department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.
false,"In preparing a rules package for the 112th Congress, the GOP had no discussions with Democrats."
false,On repeal and replace of federal health care reform.
false,"When Washington liberals wanted to take away our guns, Chet said no."
false,On running a civil and polite campaign
false,The Koch Brothers are spending more money than either the Democratic or Republican parties in the 2016 elections.
false,"Remember that developers are forced to use the 195 land union contractors, so tap an extra $10 million into any construction project."
false,"Because of President Barack Obamas failure to push job creation, the black unemployment rate in Ferguson, Mo., is three times higher than the white unemployment rate."
false,Six institutions in our country now control two thirds of the capital.
false,"Holding up a BlackBerry, McCain campaign adviser says, ""youre looking at the miracle John McCain helped create."""
false,Secretary Geithner has left the option on the table of abandoning the dollar for a multinational currency.
false,Recent data showed Nevada ranks 50th in the money received from the stimulus bill.
false,The government will go out and buy my breast pump for my babies.
false,What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.
false,"So that 2005 energy bill was a big step backwards on the path to clean, renewable energy. That's why I voted against it."
false,"The Congressional Budget Office -- supposedly non-partisan -- estimates that in just a few years the average cost to every family of four (from cap and trade) will be $6,800 per year."
false,Massachusetts public schools teach kids as young as kindergartners about gay marriage.
false,Ron Klein sponsored an amendment that specifically allows price gouging.
false,"A proposed revenue smart cap gives Floridians a voice, requiring a 60 percent vote by citizens in order to impose a new tax, fee, license, fine, charge or assessment."
false,"Gas prices have doubled because Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone pipeline. So we will all pay more at the pump."
false,"ISIS is right now crucifying Christians in Iraq, literally nailing Christians to trees."
false,State employees will have to pay 100 percent of their pensions and health insurance after 2012.
false,"When Jim Doyle was governor and Mary Burke was commerce secretary, Wisconsin saw billions in middle-class tax hikes on nursing home beds, gas, phones and garbage."
false,Seth Magaziner plans to spend billions more of your money.
false,Says he got lobbied by a woman with late-stage cancer about vaccinating Texas girls against a virus that can cause cervical cancer.
false,Florida was the only state during my eight years to go from AA to AAA in its bond rating.
false,On counting state budget shortfalls
false,"Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas."
false,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.
false,"Mr. Trump is self-financing his campaign, so we dont have any donors."
false,On George Allens U.S. senate candidacy.
false,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs."
false,Says Hillary Clintons health care plan from the 1990s had a broader provision in favor of corporate right to back out of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.
false,"White House Political Director Patrick Gaspard once served as the ""right-hand man"" for Bertha Lewis, who heads up ACORN."
false,"Dan Gecker voted to double vehicle registration fees, costing (Chesterfield) county residents over $6 million annually."
false,Only the State of New York spends more money on Medicaid than the State of New Jersey.
false,The only time government employment has gone down during a recession has been under me.
false,Only 25 percent of what people buy is subject to Rhode Islands sales tax.
false,"Janice Hahn hired hard-core gang members with taxpayer money to be gang-intervention specialists. She even helped them get out of jail, so they could rape and kill again."
false,Says New Jersey Devils managing partner Jeff Vanderbeek took us into arbitration.
false,Says Alex Sinks plans for governor include $12.5 billion in new spending.
false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.
false,This is not a mosque. Its a cultural center that has a prayer area.
false,On a balanced budget amendment.
false,Sherrod Brown voted six times to raise his own pay.
false,Says Houston National Cemetery is preventing Christian prayers from being said at military funerals.
false,Obamacare already has caused millions of hardworking Virginians to lose their health insurance.
false,The president gave the (auto) companies to the UAW.
false,The Democrats propose a government-controlled health care plan that will deprive roughly 120 million Americans of their current health care coverage.
false,Says he never supported federal health care individual mandate.
false,You cant put a gun rack in a [Chevrolet] Volt.
false,Hillary Clintons international travels included no serious diplomacy.
false,Says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.
false,Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.
false,"We are now, for the first time ever, energy independent."
false,The U.S. economy is recovering slower than Europe
false,Jorge Elorza wants to impose a municipal income tax.
false,The climate hasnt warmed in quite a few years. That is proven scientifically.
false,I represent the fourth-poorest (congressional) district in the nation.
false,"My opponent, in 2008, had contributions investigated by the federal government."
false,"Clinton ""refused repeated requests to meet with the Gold Star Mothers."""
false,Says some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.
false,The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.
false,On abortion.
false,Says Suzanne Bonamici supports the $500 billion cut to Medicare passed last year.
false,"Ryan Sittons company accepted over $650,000 in Obama stimulus dollars."
false,"Once the U.S. government signs a U.N. treaty on conventional arms, ""all U.S. citizens will be subject to those gun laws created by foreign governments."""
false,Dr. Paul never votes for legislation unless the proposed measure is expressly authorized by the Constitution.
false,"Says U.S. Rep. Steve Daines, R-Mont., opposes a vote on his own legislation that he proposed just a few months ago."
false,Sen. Jim Webb persists on negating Sen. Mark Warners votes
false,Says the first word spoken from the moon was Houston.
false,Says Marco Rubio said that felons should not have their voting rights restored but that convicted felons should be allowed to own guns after they have done their time.
false,"Democrats' budget resolution would raise America's tax bill by ""$500-billion."""
false,I released the most extensive financial review of anybody in the history of politics. You dont learn much in a tax return.
false,"State budget cuts for local schools resulted in nearly 4,000 educator layoffs"
false,A majority of our students are trapped in underperforming schools.
false,On a bipartisan task force on ways to improve fiscal policy.
false,"It's just outrageous that under President Bush, the National Institutes of Health have been basically decreased in funding."
false,My opponent promises to bring back old jobs by wishing away the global economy.
false,When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.
half-true,"For every dollar a county gets in taxes from new development, it costs us 40 to 50 percent more to provide services."
half-true,"When union membership goes down, so do (middle class) wages."
half-true,The White House budget plan will bring domestic discretionary spending to its lowest share of our economy since Dwight Eisenhower was president.
half-true,"Says Wendy Davis, born into difficult circumstances, was the daughter of a single mother and a teenage mother herself."
half-true,"Expanding Medicaid would require borrowing more money, drastically expanding our deficit."
half-true,Says Thom Tillis has cut $500 million from public education.
half-true,The Treaty of Tripoli signed by President John Adams was his outreach to Muslims.
half-true,The Obama administration raised discretionary spending by 24 percent from President George W. Bushs last full-year budget and will run up more debt by October than Bush did in eight years.
half-true,The list of voters that North Carolina Republicans tried to purge was two-thirds black and Democratic.
half-true,Solar and wind energy are both cheaper than nuclear right now.
half-true,"When it comes to being effective at creating jobs (Chris Christie has not had) a record of governing for effectiveness. ... Last year, New Jersey created no net new jobs."
half-true,Says taxes were raised 115 times in the eight years before I became governor and those increases were part of a path that led to wealth and jobs and people leaving our state.
half-true,"Says Sen. Rob Portman says Ted Strickland earned $400,000 a year as a lobbyist after leaving Ohio for Washington."
half-true,Says Donald Trump was a Democrat longer in the last decade than he was a Republican.
half-true,The fiscal cliff deal ultimately raised taxes.
half-true,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders."
half-true,On bringing casino gambling and other gaming to Georgia
half-true,"Throughout his time in elected office, Barack Obama has taken multiple positions on banning handguns and the D.C. handgun ban."
half-true,Jim Renacci supports a national sales tax of 23 percent.
half-true,"Mitt Romney did not endorse Ted Cruz, even though he said he is voting for Cruz and urged others to do likewise."
half-true,"Says Rep. Maxine Waters, D-Calif., only needs about 40,000 to 50,000 votes to win election to Congress compared with the 120,000 votes King needs, because Waters has a higher immigrant population."
half-true,"Our countrys got this huge debt, and (President Barack) Obama says raise taxes and keep spending more."
half-true,"On U.S.-Israeli relations, Prime Minister Benjamin Netanyahu set the record straight he said, our two countries have exactly the same policy (and) our security cooperation is unprecedented."
half-true,Says Romney and Ryan both backed proposals that would outlaw abortions even in cases of rape or incest.
half-true,We have 25 million Americans out of work.
half-true,"When we lower tax rates, we generate more in revenues. That happened in 86 with the Reagan plan, happened in 2001, following the Bush plan."
half-true,Says Republican U.S. Senate candidate Tommy Thompson supports massive tax cuts for corporations that outsource Wisconsin jobs.
half-true,"I delivered a flat tax for my state. I took my state to No. 1 in job creation. With all due respect to what Rick Perry has said about Texas, we did a little bit better."
half-true,Worked with Ronald Reagan and helped re-elect him.
half-true,Buck wants to privatize Social Security.
half-true,"Sharron Angle supported ""a Scientology plan to give massages to prisoners."""
half-true,"Since Sherrod Brown and the Democrats rammed the economic stimulus bill through, Ohios unemployment rate has risen to 9.6 percent, above the national average."
half-true,Every one of the mass shootings except two in America since 1950 have been in gun-free zones.
half-true,Says Gov. Rick Perry was for Wall Street bailout before he was against it.
half-true,Weve had a dramatic drop in violent crime since this law (stand your ground) has been in effect.
half-true,The $2.3-billion budget deficit I inherited when I came into office became a $2.9-billion surplus.
half-true,Our school test scores are right at the bottom.
half-true,Gubernatorial candidate Maggie Hassan supported 33 tax and fee increases as Senate Majority Leader.
half-true,Says Bernie Sanders wants higher standards for toy guns than real guns.
half-true,"Cuba wants to let the Chinese drill in some of the very parts of the gulf that American producers are currently forbidden to touch, as close as 45 miles off the Florida coast."
half-true,"Says under Mitt Romney, Massachusetts was 47th in job creation."
half-true,"If the debt ceiling is surpassed, our nation will not go into default as some suggest."
half-true,"The health care bill ""dumps 15 to 18 million low-income Americans into a Medicaid program that none of us want to be a part of because 50 percent of doctors won't see new patients."""
half-true,The 2013-15 state budget backed by Gov. Scott Walker and Republican lawmakers left our technical colleges funded at 1989 levels.
half-true,Thirty-five states have accepted high-speed intercity rail money.
half-true,"The federal government may put 16,500 IRS agents in charge of policing President Obamas health care bill."
half-true,"Since 2007, Texas has gained 440,000 people while Maryland has lost 20,000."
half-true,Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people.
half-true,"Today, there are more Hoosiers going to work than ever before in the 200-year history of the great state of Indiana."
half-true,Says Donald Trump promised the mass deportation of Latino families.
half-true,Says Chris Christie vetoed a jobs package of 30 bills.
half-true,"Murder went up when Romney was governor. ""Robbery went up. Violent crimes went up."""
half-true,Due to a flaw in the 1995 Outer Continental Shelf Deep Water Royalty Relief Act numerous oil companies are now drilling in the Gulf of Mexico in federal lands and paying no royalties to the federal government.
half-true,Says he helped to draft parts of the Dodd-Frank Wall Street reform bill.
half-true,Says New Jersey has the highest unemployment rate in the region and stagnant job growth.
half-true,"During the (housing) crisis, Catherine Cortez Masto gave a sweetheart contract worth millions to a D.C. law firm that then donated thousands to her political campaigns."
half-true,Says North Carolina Rep. Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants.
half-true,"Says President Barack Obama has amended, delayed, or repealed 19 components of his very own (health care) law."
half-true,"DEP has 2,812 employees, the lowest level since the mid-80s."
half-true,"John McCain ""began his career in Washington as a lobbyist when he was appointed in 1976 as the Navy's liaison to the United States Senate."""
half-true,"We live in ""a time of historically low violent crime rates and historically high gun ownership rates nationally."""
half-true,Every poll said I won the debate.
half-true,"Republicans control the U.S. Senate with 54 seats, but those 54 senators were elected by only two-thirds the number of voters who elected the Democrats. In the Senate, the majority party represents a minority of the people."
half-true,There are 500 failing schools in North Carolina
half-true,On campaign donations from Texas Capitol lobbyists.
half-true,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line."
half-true,What I have put forward does not add a penny to the debt.
half-true,Said state insurance commissioner candidate Ralph Hudgens fights hard to strip women of life-saving coverage such as mammograms.
half-true,"Global warming leads to much quicker spread of the Zika virus because the increased temperature, makes mosquitoes mature faster, . . . bite more due to having a higher metabolism, and makes the Zika virus inside of them incubate faster."
half-true,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.
half-true,"Tim Kaine doubled down in his support of devastating defense cuts, saying the the deal was the right thing to do."
half-true,400 bills have my name on them either as a sponsor or a co-sponsor. You dont get that done unless you work with folks on the other side.
half-true,Says Donald Trump says organized crime runs wild on reservations.
half-true,Explosive growth in Medicare is the reason federal deficit spending is predicted to top $1 trillion again after falling to $600 billion annually.
half-true,750 days since Bill Nelson the Democrats in the Senate passed a budget. How can this be justified?
half-true,"As governor, in the face of partisan attacks, (Charlie Crist) had the courage to save jobs and lead his state into economic recovery."
half-true,"McCain's ""plan for the economy is to extend George Bush's tax cuts for billionaires and give a $100-billion additional corporate tax cut."""
half-true,On delaying a health care mandate on business.
half-true,ISIS reaches about 100 million people a day through social media.
half-true,"Says John Raese said he wants 1,000 laser systems put in the sky, and we need it right now."
half-true,"The Portland-Milwaukie Light Rail Transit Project has created 1,525 direct jobs as of June 11, 2012."
half-true,"As a senator, Hillary Clinton has her name on three laws in eight years."
half-true,Says Oregon recyclers cant recycle plastic bags
half-true,The health care reform law reduces the deficit by nearly $1.2 trillion over the next two decades.
half-true,"Since I took office, Wisconsin now has the 2nd highest health care quality ranking in the country."
half-true,"More than 80 percent of Georgians dont support legislation to ease gun restrictions in houses of worship, in bars and on campuses."
half-true,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.
half-true,"Under Maggie Hassans leadership, we increased state spending in the middle of the great recession by 24 percent leading up to and following it."
half-true,Illegal immigration costs Georgia $2.4 billion a year
half-true,"As the CEO of eBay, ""Whitman started a separate division that only sells porn."""
half-true,"Marco Rubio was ""subpoenaed."""
half-true,"If the Republicans were the majority, (Rep. Barton) would have actually the gavel and the chairmanship."
half-true,Mitt Romneys companies were pioneers in outsourcing U.S. jobs to low-wage countries.
half-true,"As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship."
half-true,"Says he has repeatedly praised Chuck Hagels character, patriotism, bravery, and personal service defending our nation."
half-true,The U.S. House rule barring members from wearing hats while in session dates back to the 1800s and can be waived by the speaker.
half-true,Says U.S. Senate candidate Adam Hasner cited his efforts to weaken pro-life and school choice legislation as unequivocal proof that hes a moderate.
half-true,"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected."
half-true,"From 1960, the year I was born, until the time I became Governor in 2003, the average two-year increase in Minnesota state spending was 21 percent. we brought that down dramatically, to about 1.7 percent per year."
half-true,I want to freeze interest rates for five years.
mostly-true,Says he never told anyone he hated the U.S. Senate.
mostly-true,There is no planned air-conditioned restaurant out on the Lens.
mostly-true,John McCain said...in December he was surprised there was a subprime mortgage problem.
mostly-true,The IRS has been specifically forbidden ... from ever actually pursuing either civil or criminal remedies for people who dont purchase health insurance.
mostly-true,"Says U.S. Senate Democrats have gone without any budget at all for more than 1,000 days."
mostly-true,"The average time someone used to hold a share of stock back in the 60s was eight years. Now, the average time is four months."
mostly-true,"Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor."
mostly-true,"The first time he ever voted as a Democrat was here in Florida in 2008. He only voted four times in his life, and he's asking Floridians to come out and vote for him."
mostly-true,"Repeal of Obamacare would take away health care for 10.3 million Americans who have received coverage since Oct. 1, 2013."
mostly-true,Says Texas ranks 44th nationally in education funding per pupil.
mostly-true,"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres."
mostly-true,"Theres 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They dont have to wait until theyre 65."
mostly-true,Women are still paid 82 cents for every dollar a man earns in Texas.
mostly-true,Says Scott Walker cut back early voting and signed legislation that would make it harder for college students to vote.
mostly-true,"During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did."
mostly-true,"Says for the first time in the history of the United States, the government cut taxes during wartime"
mostly-true,"Says Roy Blunt secretly inserts language to benefit tobacco giant Philip Morris into a national security bill while Blunts girlfriend and son are lobbyists for the cigarette company, and just days earlier, 26 Philip Morris executives wrote checks to Blunt totaling $23,000."
mostly-true,"As a senator, Barack Obama supported ""an amendment that basically gutted the legal temporary worker program."""
mostly-true,All the money the Department of Citrus has is paid for by the citrus growers. You dont save dollars by eliminating the Department of Citrus.
mostly-true,John McCain has seven houses.
mostly-true,"California Republican gubernatorial hopeful Meg Whitman ""contributed to, and campaigned, for"" Democratic Sen. Barbara Boxer."
mostly-true,Romney would turn Medicare into a voucher program.
mostly-true,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.
mostly-true,The minimum wage is mostly an entry-level wage for young people.
mostly-true,Says Donald Trump spent the least amount of money of any of the competitive primary contenders that he beat so badly.
mostly-true,Women of childbearing age spend 68 percent more in out-of-pocket health care costs than men.
mostly-true,Florida has the third most-regressive tax structure.
mostly-true,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year."
mostly-true,"Since (welfare reform) was signed into law, the number of families living in extreme poverty has more than doubled."
mostly-true,Weve got the highest corporate tax rate in the world.
mostly-true,The failings in our civil service are encouraged by a system that makes it very difficult to fire someone even for gross misconduct.
mostly-true,"With the exception of slavery and the Chinese Exclusion Act, our laws have never barred persons from becoming citizens."
mostly-true,Austin is the biggest city in America with a Tier One research university (UT-Austin) but without a medical school.
mostly-true,Were 49th in the United States in new businesses created.
mostly-true,Marco Rubio has the No. 1absentee record in the United States Senate.
mostly-true,"New school testing standards will consume approximately twenty days of testing for elementary, middle and high school students."
mostly-true,"If President Barack Obama strikes a nuclear deal with Iran, the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time."
mostly-true,The Seattle Times called Patty Murray a prolific sponsor of earmarks. Patty even defended the Bridge to Nowhere.
mostly-true,Kendrick Meek is the only candidate who has consistently been against expanded drilling.
mostly-true,States with the most gun laws tend to have the fewest gun deaths.
mostly-true,Im also the only lieutenant governor to not take a security detail.
mostly-true,"In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi Wyoming. Under Christie, NJ is falling behind."
mostly-true,"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times."
